external_id,title,description,price,location,city,state,country,type,length,width,rooms,bedrooms,bathrooms,furnished,images
PKT-1001,Modern 2BHK Apartment,Spacious apartment near metro with great ventilation,8500000,"12 Park Street, Andheri East",Mumbai,Maharashtra,India,apartment,900,600,5,2,2,true,"apartment1.jpg,apartment2.jpg,apartment3.jpg,apartment4.jpg"
PKT-1002,Cozy Family House,Independent house with small garden and parking,12500000,"45 Green Avenue, Dwarka",Delhi,Delhi,India,house,1200,800,6,3,2,true,"house1.jpg,house2.jpg,house3.jpg,house4.jpg"
PKT-1003,Luxury Villa with Pool,Premium villa in gated community with private pool,32500000,"88 Palm Meadows, Whitefield",Bangalore,Karnataka,India,villa,2000,1500,8,4,4,false,"villa1.jpg,villa2.jpg,villa3.jpg,villa4.jpg"
PKT-1004,Spacious 3BHK Penthouse,High-rise penthouse with city views and modern amenities,18500000,"101 Sky Tower, Bandra West",Mumbai,Maharashtra,India,apartment,1500,1000,7,3,3,true,"penthouse1.jpg,penthouse2.jpg,penthouse3.jpg,penthouse4.jpg"
PKT-1005,Traditional Bungalow,Heritage bungalow with vintage charm and large garden,9500000,"23 Heritage Lane, Civil Lines",Delhi,Delhi,India,house,1000,700,5,2,2,false,"bungalow1.jpg,bungalow2.jpg,bungalow3.jpg,bungalow4.jpg"
PKT-1006,Modern Studio Apartment,Compact studio perfect for young professionals,4500000,"67 Tech Park Road, Electronic City",Bangalore,Karnataka,India,apartment,400,300,2,1,1,true,"studio1.jpg,studio2.jpg,studio3.jpg,studio4.jpg"
PKT-1007,Commercial Office Space,Prime commercial space in business district,25000000,"99 Business Plaza, Connaught Place",Delhi,Delhi,India,commercial,2000,1500,10,0,3,false,"office1.jpg,office2.jpg,office3.jpg"
PKT-1008,Empty Plot for Development,Prime land for residential development,15000000,"Plot 45, Sector 12",Gurgaon,Haryana,India,land,3000,2000,0,0,0,false,"land1.jpg,land2.jpg"
PKT-1009,Duplex House with Terrace,Modern duplex with rooftop terrace and garden,18000000,"78 Garden Heights, Koregaon Park",Pune,Maharashtra,India,house,1500,1000,8,4,3,true,"duplex1.jpg,duplex2.jpg,duplex3.jpg,duplex4.jpg,duplex5.jpg"
PKT-1010,Executive Apartment,High-end apartment with premium amenities,22000000,"55 Luxury Towers, Banjara Hills",Hyderabad,Telangana,India,apartment,1200,800,6,3,3,true,"executive1.jpg,executive2.jpg,executive3.jpg"
